symbol,side,confirmation_type,confidence,entry_time,exit_time,entry_ms,exit_ms,entry_price,avg_entry,exit_price,tp_price,tp_mode,sl_price,sl_mode,exit_reason,dca_count,fill_count,margin_used,gross_pnl,fees,net_pnl,roi_on_margin,result,duration_hours,max_adverse_roi,dca_blocked_count,last_dca_block_reason,skip_reason
XRPUSDT,BUY,REVERSAL,100.0,2026-04-27T00:00:00+00:00,2026-04-27T03:59:59.999000+00:00,1777248000000,1777262399999,1.43048604,1.43048604,1.42590934,1.45969821,STRUCTURE_1d_pivot+1d_pivot+4h_pivot+4h_pivot+4h_pivot+4h_pivot+4h_20_range+4h_pivot+4h_50_range,1.42619458,STRUCTURE_SL_CAPPED_6.0%,SL,0,1,2.0,-0.128,0.0319,-0.1599,-8.0,LOSS,4.0,8.65,0,,OK
XRPUSDT,SELL,TREND,100.0,2026-06-26T00:00:00+00:00,2026-06-26T03:59:59.999000+00:00,1782432000000,1782446399999,1.0427914,1.0427914,1.01692496,1.01672162,FALLBACK_ROI_50.0%,,SL_DISABLED,TP,0,1,2.0,0.9922,0.0316,0.9606,48.03,WIN,4.0,5.58,0,,OK
